Item,Date,Warehouse,Source,Old Stock,Sh Quantity,Different,Shipment Stock,Scrap,Ofd,Return,Delivered ,All Stock,Shipment Code,Ofd D,Branch Scrap,Closeed Scrap
Fig Barshomi,23-Jul,Saudi,Egypt,0 ,50 ,0 ,50 ,3,8 ,2 ,6 ,41 ,2026-KSA-07-001,One,,
Fig Shouki,23-Jul,Saudi,Egypt,0 ,23 ,0 ,23 ,1,5 ,3 ,2 ,20 ,2026-KSA-07-001,One,,
Mango White Sugar,23-Jul,Saudi,Egypt,0 ,35 ,0 ,35 ,1,4 ,1 ,3 ,31 ,2026-KSA-07-001,One,,
Mango Sediqa ,23-Jul,Saudi,Egypt,0 ,16 ,0 ,16 ,1,3 ,1 ,2 ,13 ,2026-KSA-07-001,One,,
Graps Banati,23-Jul,Saudi,Egypt,0 ,23 ,0 ,23 ,0,3 ,1 ,2 ,21 ,2026-KSA-07-001,One,,
Graps red,23-Jul,Saudi,Egypt,0 ,14 ,0 ,14 ,0,2 ,2 ,0 ,14 ,2026-KSA-07-001,One,,
Mango Fas,23-Jul,Saudi,Egypt,0 ,172 ,0 ,172 ,4,20 ,1 ,19 ,149 ,2026-KSA-07-001,One,,
Pear Banati,23-Jul,Saudi,Egypt,0 ,7 ,0 ,7 ,0,2 ,1 ,1 ,6 ,2026-KSA-07-001,One,,
Cantaloupe,23-Jul,Saudi,Egypt,0 ,32 ,0 ,32 ,0,1 ,1 ,0 ,32 ,2026-KSA-07-001,One,,
Mango Hindi,23-Jul,Saudi,Egypt,0 ,12 ,0 ,12 ,0,3 ,2 ,1 ,11 ,2026-KSA-07-001,One,,
Fig Barshomi,24-Jul,Saudi,Egypt,41 ,0 ,0 ,0 ,1,14 ,1 ,13 ,27 ,2026-KSA-07-001,Two,,
Fig Shouki,24-Jul,Saudi,Egypt,20 ,0 ,0 ,0 ,0,5 ,1 ,4 ,16 ,2026-KSA-07-001,Two,,
Mango White Sugar,24-Jul,Saudi,Egypt,31 ,0 ,0 ,0 ,1,9 ,2 ,7 ,23 ,2026-KSA-07-001,Two,,
Mango Sediqa ,24-Jul,Saudi,Egypt,13 ,0 ,0 ,0 ,0,6 ,0 ,6 ,7 ,2026-KSA-07-001,Two,,
Graps Banati,24-Jul,Saudi,Egypt,21 ,0 ,0 ,0 ,0,7 ,1 ,6 ,15 ,2026-KSA-07-001,Two,,
Graps red,24-Jul,Saudi,Egypt,14 ,0 ,0 ,0 ,0,1 ,0 ,1 ,13 ,2026-KSA-07-001,Two,,
Mango Fas,24-Jul,Saudi,Egypt,149 ,0 ,0 ,0 ,1,53 ,12 ,41 ,107 ,2026-KSA-07-001,Two,,
Pear Banati,24-Jul,Saudi,Egypt,6 ,0 ,0 ,0 ,0,1 ,0 ,1 ,5 ,2026-KSA-07-001,Two,,
Cantaloupe,24-Jul,Saudi,Egypt,32 ,0 ,0 ,0 ,0,12 ,4 ,8 ,24 ,2026-KSA-07-001,Two,,
