Item,Date,Warehouse,Source,Old Stock,Sh Quantity,Different,Shipment Stock,Scrap,Ofd,Return,Delivered ,All Stock,Shipment Code,Ofd D,Branch Scrap,Closeed Scrap
Bashmala,1-May,Qatar ????,Egypt,0 ,18 ,0 ,18 ,0,15 ,2 ,13 ,5 ,2026-QTR-04-008,One,,
Watermelon,1-May,Qatar ????,Egypt,0 ,374 ,0 ,374 ,115,242 ,26 ,216 ,43 ,2026-QTR-04-008,One,,
Berries Omani,1-May,Qatar ????,Egypt,0 ,30 ,0 ,30 ,1,28 ,4 ,24 ,5 ,2026-QTR-04-008,One,,
Mango Timor Yemeni,1-May,Qatar ????,LM,0 ,33 ,4 ,37 ,0,29 ,2 ,27 ,10 ,2026-QTR-04-008,One,,
Guava Banati,1-May,Qatar ????,Egypt,0 ,55 ,0 ,55 ,0,54 ,8 ,46 ,9 ,2026-QTR-04-008,One,,
Golden Berry,1-May,Qatar ????,Egypt,0 ,20 ,0 ,20 ,0,19 ,1 ,18 ,2 ,2026-QTR-04-008,One,,
Peach Baladi,1-May,Qatar ????,Egypt,0 ,26 ,0 ,26 ,0,26 ,4 ,22 ,4 ,2026-QTR-04-008,One,,
Peach Sugary,1-May,Qatar ????,Egypt,0 ,49 ,0 ,49 ,0,49 ,3 ,46 ,3 ,2026-QTR-04-008,One,,
Graps White,1-May,Qatar ????,Egypt,0 ,16 ,0 ,16 ,0,16 ,3 ,13 ,3 ,2026-QTR-04-008,One,,
Graps red,1-May,Qatar ????,Egypt,0 ,10 ,0 ,10 ,0,10 ,2 ,8 ,2 ,2026-QTR-04-008,One,,
Cantaloupe,1-May,Qatar ????,Egypt,0 ,68 ,0 ,68 ,0,68 ,4 ,64 ,4 ,2026-QTR-04-008,One,,
Bashmala,2-May,Qatar ????,Egypt,5 ,0 ,0 ,0 ,0,5 ,0 ,5 ,0 ,2026-QTR-04-008,Two,,
Watermelon,2-May,Qatar ????,Egypt,43 ,0 ,0 ,0 ,4,29 ,2 ,27 ,12 ,2026-QTR-04-008,Two,,
Berries Omani,2-May,Qatar ????,Egypt,5 ,0 ,0 ,0 ,0,5 ,0 ,5 ,0 ,2026-QTR-04-008,Two,,
Mango Timor Yemeni,2-May,Qatar ????,LM,10 ,0 ,0 ,0 ,1,4 ,0 ,4 ,5 ,2026-QTR-04-008,Two,,
Guava Banati,2-May,Qatar ????,Egypt,9 ,0 ,0 ,0 ,0,8 ,0 ,8 ,1 ,2026-QTR-04-008,Two,,
Golden Berry,2-May,Qatar ????,Egypt,2 ,0 ,0 ,0 ,0,2 ,0 ,2 ,0 ,2026-QTR-04-008,Two,,
Peach Baladi,2-May,Qatar ????,Egypt,4 ,0 ,0 ,0 ,0,4 ,0 ,4 ,0 ,2026-QTR-04-008,Two,,
Peach Sugary,2-May,Qatar ????,Egypt,3 ,0 ,0 ,0 ,0,3 ,0 ,3 ,0 ,2026-QTR-04-008,Two,,
Graps White,2-May,Qatar ????,Egypt,3 ,0 ,0 ,0 ,0,3 ,0 ,3 ,0 ,2026-QTR-04-008,Two,,
Graps red,2-May,Qatar ????,Egypt,2 ,0 ,0 ,0 ,0,2 ,0 ,2 ,0 ,2026-QTR-04-008,Two,,
Cantaloupe,2-May,Qatar ????,Egypt,4 ,0 ,0 ,0 ,0,4 ,0 ,4 ,0 ,2026-QTR-04-008,Two,,
Bashmala,3-May,Qatar ????,Egypt,0 ,0 ,0 ,0 ,0,0 ,0 ,0 ,0 ,2026-QTR-04-008,Three,,
Watermelon,3-May,Qatar ????,Egypt,12 ,0 ,0 ,0 ,0,7 ,0 ,7 ,5 ,2026-QTR-04-008,Three,,
Berries Omani,3-May,Qatar ????,Egypt,0 ,0 ,0 ,0 ,0,0 ,0 ,0 ,0 ,2026-QTR-04-008,Three,,
Mango Timor Yemeni,3-May,Qatar ????,LM,5 ,0 ,0 ,0 ,0,2 ,0 ,2 ,3 ,2026-QTR-04-008,Three,,
Guava Banati,3-May,Qatar ????,Egypt,1 ,0 ,0 ,0 ,0,1 ,0 ,1 ,0 ,2026-QTR-04-008,Three,,
Golden Berry,3-May,Qatar ????,Egypt,0 ,0 ,0 ,0 ,0,0 ,0 ,0 ,0 ,2026-QTR-04-008,Three,,
Peach Baladi,3-May,Qatar ????,Egypt,0 ,0 ,0 ,0 ,0,0 ,0 ,0 ,0 ,2026-QTR-04-008,Three,,
Peach Sugary,3-May,Qatar ????,Egypt,0 ,0 ,0 ,0 ,0,0 ,0 ,0 ,0 ,2026-QTR-04-008,Three,,
Graps White,3-May,Qatar ????,Egypt,0 ,0 ,0 ,0 ,0,0 ,0 ,0 ,0 ,2026-QTR-04-008,Three,,
Graps red,3-May,Qatar ????,Egypt,0 ,0 ,0 ,0 ,0,0 ,0 ,0 ,0 ,2026-QTR-04-008,Three,,
Cantaloupe,3-May,Qatar ????,Egypt,0 ,0 ,0 ,0 ,0,0 ,0 ,0 ,0 ,2026-QTR-04-008,Three,,
Bashmala,4-May,Qatar ????,Egypt,0 ,0 ,0 ,0 ,0,0 ,0 ,0 ,0 ,2026-QTR-04-008,Four,,
Watermelon,4-May,Qatar ????,Egypt,5 ,0 ,0 ,0 ,0,5 ,0 ,5 ,0 ,2026-QTR-04-008,Four,,
Berries Omani,4-May,Qatar ????,Egypt,0 ,0 ,0 ,0 ,0,0 ,0 ,0 ,0 ,2026-QTR-04-008,Four,,
Mango Timor Yemeni,4-May,Qatar ????,LM,3 ,0 ,0 ,0 ,0,0 ,0 ,0 ,3 ,2026-QTR-04-008,Four,,
