Item,Date,Warehouse,Source,Old Stock,Sh Quantity,Different,Shipment Stock,Scrap,Ofd,Return,Delivered ,All Stock,Shipment Code,Ofd D,Branch Scrap,Closeed Scrap
Bashmala,8-May,UAE ????,Egypt,0 ,17 ,0 ,17 ,0,17 ,0 ,17 ,0 ,2026-UAE-04-013,One,,
Watermelon,8-May,UAE ????,Egypt,0 ,376 ,13 ,389 ,1,388 ,59 ,320 ,59 ,2026-UAE-04-013,One,,
Berries Omani,8-May,UAE ????,Egypt,0 ,77 ,(22),55 ,2,53 ,9 ,42 ,9 ,2026-UAE-04-013,One,,
Mango Timor Yemeni,8-May,UAE ????,LM,0 ,52 ,1 ,53 ,0,53 ,9 ,45 ,9 ,2026-UAE-04-013,One,,
Guava Banati,8-May,UAE ????,Egypt,0 ,90 ,0 ,90 ,4,87 ,16 ,70 ,15 ,2026-UAE-04-013,One,,
Golden Berry,8-May,UAE ????,Egypt,0 ,29 ,0 ,29 ,0,29 ,3 ,27 ,3 ,2026-UAE-04-013,One,,
Peach Baladi,8-May,UAE ????,Egypt,0 ,45 ,0 ,45 ,1,44 ,9 ,35 ,9 ,2026-UAE-04-013,One,,
Peach Sugary,8-May,UAE ????,Egypt,0 ,77 ,0 ,77 ,0,77 ,14 ,61 ,14 ,2026-UAE-04-013,One,,
Graps White,8-May,UAE ????,Egypt,0 ,20 ,0 ,20 ,0,20 ,4 ,16 ,4 ,2026-UAE-04-013,One,,
Graps red,8-May,UAE ????,Egypt,0 ,26 ,0 ,26 ,0,26 ,2 ,24 ,2 ,2026-UAE-04-013,One,,
Cantaloupe,8-May,UAE ????,Egypt,0 ,89 ,0 ,89 ,0,90 ,12 ,76 ,11 ,2026-UAE-04-013,One,,
Bashmala,9-May,UAE ????,Egypt,0 ,0 ,0 ,0 ,0,0 ,0 ,0 ,0 ,2026-UAE-04-013,Two,,
Watermelon,9-May,UAE ????,Egypt,59 ,0 ,0 ,0 ,2,57 ,11 ,41 ,11 ,2026-UAE-04-013,Two,,
Berries Omani,9-May,UAE ????,Egypt,9 ,0 ,0 ,0 ,9,0 ,1 ,0 ,1 ,2026-UAE-04-013,Two,,
Mango Timor Yemeni,9-May,UAE ????,LM,9 ,0 ,0 ,0 ,0,9 ,0 ,7 ,0 ,2026-UAE-04-013,Two,,
Guava Banati,9-May,UAE ????,Egypt,15 ,0 ,0 ,0 ,6,9 ,2 ,6 ,2 ,2026-UAE-04-013,Two,,
Golden Berry,9-May,UAE ????,Egypt,3 ,0 ,0 ,0 ,0,3 ,1 ,3 ,1 ,2026-UAE-04-013,Two,,
Peach Baladi,9-May,UAE ????,Egypt,9 ,0 ,0 ,0 ,1,8 ,3 ,6 ,3 ,2026-UAE-04-013,Two,,
Peach Sugary,9-May,UAE ????,Egypt,14 ,0 ,0 ,0 ,1,13 ,2 ,10 ,2 ,2026-UAE-04-013,Two,,
Graps White,9-May,UAE ????,Egypt,4 ,0 ,0 ,0 ,0,4 ,0 ,4 ,0 ,2026-UAE-04-013,Two,,
Graps red,9-May,UAE ????,Egypt,2 ,0 ,0 ,0 ,0,2 ,1 ,2 ,1 ,2026-UAE-04-013,Two,,
Cantaloupe,9-May,UAE ????,Egypt,11 ,0 ,0 ,0 ,0,12 ,3 ,8 ,2 ,2026-UAE-04-013,Two,,
Bashmala,10-May,UAE ????,Egypt,0 ,0 ,0 ,0 ,0,0 ,0 ,0 ,0 ,2026-UAE-04-013,Three,,
Watermelon,10-May,UAE ????,Egypt,11 ,0 ,0 ,0 ,1,10 ,0 ,10 ,0 ,2026-UAE-04-013,Three,,
Berries Omani,10-May,UAE ????,Egypt,1 ,0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,2026-UAE-04-013,Three,,
Mango Timor Yemeni,10-May,UAE ????,LM,0 ,0 ,0 ,0 ,0,0 ,0 ,0 ,0 ,2026-UAE-04-013,Three,,
